LIST	SCORE	LENGTH	NAME
list_ALL_noLOADneg.121.L40-400 (N=169)	275	127	vf_1_28316
list_ALL_noLOADneg.121.L40-400 (N=169)	188	48	vf_1_28319
list_ALL_noLOADneg.121.L40-400 (N=169)	165	61	vf_1_55527
list_ALL_noLOADneg.121.L40-400 (N=169)	243	41	vf_1_89532
list_ALL_noLOADneg.121.L40-400 (N=169)	206	70	vf_1_149580
list_ALL_noLOADneg.121.L40-400 (N=169)	206	44	vf_1_149586
list_ALL_noLOADneg.121.L40-400 (N=169)	264	119	vf_1_149592
list_ALL_noLOADneg.121.L40-400 (N=169)	225	106	ef_1_157243
list_ALL_noLOADneg.121.L40-400 (N=169)	254	108	vf_1_157249
list_ALL_noLOADneg.121.L40-400 (N=169)	172	56	vf_1_164402
list_ALL_noLOADneg.121.L40-400 (N=169)	156	130	vf_1_164407
list_ALL_noLOADneg.121.L40-400 (N=169)	132	48	ef_1_164407
list_ALL_noLOADneg.121.L40-400 (N=169)	190	82	vf_1_193127
list_ALL_noLOADneg.121.L40-400 (N=169)	285	68	vf_1_195743
list_ALL_noLOADneg.121.L40-400 (N=169)	214	43	vf_1_195746
list_ALL_noLOADneg.121.L40-400 (N=169)	182	44	vf_1_198434
list_ALL_noLOADneg.121.L40-400 (N=169)	202	44	ef_1_2086
list_ALL_noLOADneg.121.L40-400 (N=169)	255	80	vf_1_26784
list_ALL_noLOADneg.121.L40-400 (N=169)	142	70	ef_1_30601
list_ALL_noLOADneg.121.L40-400 (N=169)	170	53	vf_1_30607
list_ALL_noLOADneg.121.L40-400 (N=169)	100	43	ef_1_30613
list_ALL_noLOADneg.121.L40-400 (N=169)	177	62	ef_1_30615
list_ALL_noLOADneg.121.L40-400 (N=169)	116	92	ef_1_33532
list_ALL_noLOADneg.121.L40-400 (N=169)	215	44	vf_1_34295
list_ALL_noLOADneg.121.L40-400 (N=169)	239	57	vf_1_34298
list_ALL_noLOADneg.121.L40-400 (N=169)	390	233	ef_1_39451
list_ALL_noLOADneg.121.L40-400 (N=169)	157	133	vf_1_39454
list_ALL_noLOADneg.121.L40-400 (N=169)	252	71	vf_1_39455
list_ALL_noLOADneg.121.L40-400 (N=169)	287	60	vf_1_39457
list_ALL_noLOADneg.121.L40-400 (N=169)	285	71	vf_1_39458
list_ALL_noLOADneg.121.L40-400 (N=169)	106	40	ef_1_39458
list_ALL_noLOADneg.121.L40-400 (N=169)	309	62	vf_1_39460
list_ALL_noLOADneg.121.L40-400 (N=169)	201	61	vf_1_49127
list_ALL_noLOADneg.121.L40-400 (N=169)	135	60	ef_1_49127
list_ALL_noLOADneg.121.L40-400 (N=169)	101	45	ef_1_81846
list_ALL_noLOADneg.121.L40-400 (N=169)	193	132	vf_1_105704
list_ALL_noLOADneg.121.L40-400 (N=169)	234	44	vf_1_105705
list_ALL_noLOADneg.121.L40-400 (N=169)	187	46	vf_1_112329
list_ALL_noLOADneg.121.L40-400 (N=169)	208	52	vf_1_118033
list_ALL_noLOADneg.121.L40-400 (N=169)	502	43	vf_1_119922
list_ALL_noLOADneg.121.L40-400 (N=169)	178	77	vf_1_119924
list_ALL_noLOADneg.121.L40-400 (N=169)	270	64	ef_1_119924
list_ALL_noLOADneg.121.L40-400 (N=169)	223	49	vf_2_88258
list_ALL_noLOADneg.121.L40-400 (N=169)	169	44	vf_2_79200
list_ALL_noLOADneg.121.L40-400 (N=169)	157	41	vf_2_91000
list_ALL_noLOADneg.121.L40-400 (N=169)	150	41	vf_2_93657
list_ALL_noLOADneg.121.L40-400 (N=169)	153	76	vf_2_98119
list_ALL_noLOADneg.121.L40-400 (N=169)	121	59	ef_2_101762
list_ALL_noLOADneg.121.L40-400 (N=169)	222	74	vf_2_101764
list_ALL_noLOADneg.121.L40-400 (N=169)	246	49	vf_2_3475
list_ALL_noLOADneg.121.L40-400 (N=169)	164	119	vf_2_19537
list_ALL_noLOADneg.121.L40-400 (N=169)	122	45	ef_2_19539
list_ALL_noLOADneg.121.L40-400 (N=169)	194	88	vf_2_19544
list_ALL_noLOADneg.121.L40-400 (N=169)	195	55	vf_2_26542
list_ALL_noLOADneg.121.L40-400 (N=169)	175	44	vf_2_41995
list_ALL_noLOADneg.121.L40-400 (N=169)	425	101	ef_2_46317
list_ALL_noLOADneg.121.L40-400 (N=169)	134	65	ef_2_52525
list_ALL_noLOADneg.121.L40-400 (N=169)	238	115	vf_2_53148
list_ALL_noLOADneg.121.L40-400 (N=169)	156	211	vf_2_53152
list_ALL_noLOADneg.121.L40-400 (N=169)	204	247	vf_2_53153
list_ALL_noLOADneg.121.L40-400 (N=169)	130	144	ef_2_53153
list_ALL_noLOADneg.121.L40-400 (N=169)	315	134	vf_2_61666
list_ALL_noLOADneg.121.L40-400 (N=169)	170	43	vf_2_70956
list_ALL_noLOADneg.121.L40-400 (N=169)	199	168	vf_2_72494
list_ALL_noLOADneg.121.L40-400 (N=169)	182	118	vf_2_77509
list_ALL_noLOADneg.121.L40-400 (N=169)	300	116	ef_2_77509
list_ALL_noLOADneg.121.L40-400 (N=169)	275	49	vf_3_144193
list_ALL_noLOADneg.121.L40-400 (N=169)	172	70	ef_3_39638
list_ALL_noLOADneg.121.L40-400 (N=169)	164	96	vf_3_39648
list_ALL_noLOADneg.121.L40-400 (N=169)	448	54	vf_3_87598
list_ALL_noLOADneg.121.L40-400 (N=169)	229	114	vf_3_98088
list_ALL_noLOADneg.121.L40-400 (N=169)	161	45	vf_3_98090
list_ALL_noLOADneg.121.L40-400 (N=169)	153	50	vf_3_98098
list_ALL_noLOADneg.121.L40-400 (N=169)	121	70	ef_3_98099
list_ALL_noLOADneg.121.L40-400 (N=169)	237	113	vf_3_106793
list_ALL_noLOADneg.121.L40-400 (N=169)	227	126	ef_3_106793
list_ALL_noLOADneg.121.L40-400 (N=169)	158	46	vf_3_112691
list_ALL_noLOADneg.121.L40-400 (N=169)	231	101	vf_3_113277
list_ALL_noLOADneg.121.L40-400 (N=169)	184	43	vf_3_113282
list_ALL_noLOADneg.121.L40-400 (N=169)	165	53	ef_3_113910
list_ALL_noLOADneg.121.L40-400 (N=169)	224	53	vf_3_121220
list_ALL_noLOADneg.121.L40-400 (N=169)	339	43	vf_3_121221
list_ALL_noLOADneg.121.L40-400 (N=169)	357	181	vf_3_121222
list_ALL_noLOADneg.121.L40-400 (N=169)	274	179	ef_3_121222
list_ALL_noLOADneg.121.L40-400 (N=169)	304	329	vf_3_121226
list_ALL_noLOADneg.121.L40-400 (N=169)	225	98	ef_3_121226
list_ALL_noLOADneg.121.L40-400 (N=169)	244	52	vf_3_121227
list_ALL_noLOADneg.121.L40-400 (N=169)	190	73	ef_3_121228
list_ALL_noLOADneg.121.L40-400 (N=169)	250	62	vf_3_121229
list_ALL_noLOADneg.121.L40-400 (N=169)	252	48	vf_3_138835
