LIST	SCORE	LENGTH	NAME
list_ALL_noLOADneg.121.S201 (N=270)	213	17	vf_1_28315
list_ALL_noLOADneg.121.S201 (N=270)	275	127	vf_1_28316
list_ALL_noLOADneg.121.S201 (N=270)	377	25	vf_1_28321
list_ALL_noLOADneg.121.S201 (N=270)	243	41	vf_1_89532
list_ALL_noLOADneg.121.S201 (N=270)	561	8	vf_1_89543
list_ALL_noLOADneg.121.S201 (N=270)	372	16	vf_1_149576
list_ALL_noLOADneg.121.S201 (N=270)	206	70	vf_1_149580
list_ALL_noLOADneg.121.S201 (N=270)	206	44	vf_1_149586
list_ALL_noLOADneg.121.S201 (N=270)	264	119	vf_1_149592
list_ALL_noLOADneg.121.S201 (N=270)	429	8	vf_1_154478
list_ALL_noLOADneg.121.S201 (N=270)	264	20	vf_1_154483
list_ALL_noLOADneg.121.S201 (N=270)	225	106	ef_1_157243
list_ALL_noLOADneg.121.S201 (N=270)	598	13	vf_1_157245
list_ALL_noLOADneg.121.S201 (N=270)	209	18	vf_1_157246
list_ALL_noLOADneg.121.S201 (N=270)	254	108	vf_1_157249
list_ALL_noLOADneg.121.S201 (N=270)	283	8	vf_1_164400
list_ALL_noLOADneg.121.S201 (N=270)	477	13	vf_1_164408
list_ALL_noLOADneg.121.S201 (N=270)	263	9	vf_1_172384
list_ALL_noLOADneg.121.S201 (N=270)	287	8	vf_1_178472
list_ALL_noLOADneg.121.S201 (N=270)	212	30	vf_1_193113
list_ALL_noLOADneg.121.S201 (N=270)	296	8	vf_1_193117
list_ALL_noLOADneg.121.S201 (N=270)	334	14	vf_1_195742
list_ALL_noLOADneg.121.S201 (N=270)	285	68	vf_1_195743
list_ALL_noLOADneg.121.S201 (N=270)	500	20	vf_1_195745
list_ALL_noLOADneg.121.S201 (N=270)	214	43	vf_1_195746
list_ALL_noLOADneg.121.S201 (N=270)	254	11	vf_1_199076
list_ALL_noLOADneg.121.S201 (N=270)	202	44	ef_1_2086
list_ALL_noLOADneg.121.S201 (N=270)	241	28	vf_1_2088
list_ALL_noLOADneg.121.S201 (N=270)	264	18	vf_1_26778
list_ALL_noLOADneg.121.S201 (N=270)	255	80	vf_1_26784
list_ALL_noLOADneg.121.S201 (N=270)	289	19	vf_1_30614
list_ALL_noLOADneg.121.S201 (N=270)	241	12	vf_1_34276
list_ALL_noLOADneg.121.S201 (N=270)	779	27	vf_1_34294
list_ALL_noLOADneg.121.S201 (N=270)	215	44	vf_1_34295
list_ALL_noLOADneg.121.S201 (N=270)	239	57	vf_1_34298
list_ALL_noLOADneg.121.S201 (N=270)	390	233	ef_1_39451
list_ALL_noLOADneg.121.S201 (N=270)	226	23	vf_1_39453
list_ALL_noLOADneg.121.S201 (N=270)	252	71	vf_1_39455
list_ALL_noLOADneg.121.S201 (N=270)	365	19	vf_1_39456
list_ALL_noLOADneg.121.S201 (N=270)	287	60	vf_1_39457
list_ALL_noLOADneg.121.S201 (N=270)	285	71	vf_1_39458
list_ALL_noLOADneg.121.S201 (N=270)	309	62	vf_1_39460
list_ALL_noLOADneg.121.S201 (N=270)	315	8	vf_1_42480
list_ALL_noLOADneg.121.S201 (N=270)	297	31	ef_1_44651
list_ALL_noLOADneg.121.S201 (N=270)	219	33	ef_1_44656
list_ALL_noLOADneg.121.S201 (N=270)	537	34	ef_1_44657
list_ALL_noLOADneg.121.S201 (N=270)	201	61	vf_1_49127
list_ALL_noLOADneg.121.S201 (N=270)	218	11	vf_1_49130
list_ALL_noLOADneg.121.S201 (N=270)	247	11	vf_1_58830
list_ALL_noLOADneg.121.S201 (N=270)	234	23	vf_1_63107
list_ALL_noLOADneg.121.S201 (N=270)	337	37	vf_1_82624
list_ALL_noLOADneg.121.S201 (N=270)	234	44	vf_1_105705
